colonia_geo,alcaldia_geo,n_listings,precio_promedio,ingreso_anual_promedio,ocupacion_promedio,dist_transporte_promedio,tasa_crimen,reviews_promedio,score_precio,score_ocupacion,score_seguridad,score_transporte,score_total
valle escondido,tlalpan,5,773.4,196207,0.57972602739726,0.311901614015068,6.58197854274995e-05,16.2,-0.37736482325186,2.07994015892198,0.454243236262695,-0.591037815684204,0.483413684816733
roma sur,benito juarez,361,1380.63434903047,173107.487534626,0.356263044055705,0.142577438155519,6.58197854274995e-05,40.612188365651,0.849207939194779,0.269086004197137,0.454243236262695,0.272939673845511,0.480924765039216
los cipreses,coyoacan,5,476,104134.8,0.584657534246575,0.149704355575069,6.58197854274995e-05,22.4,-0.978092927869218,2.11990310729758,0.454243236262695,0.236574540579866,0.48070660919702
villa coyoacan,coyoacan,106,1496.12264150943,208184.330188679,0.383742569139312,0.238094584841733,0.000592378068847496,87.6320754716981,1.08248656409855,0.491769024997308,0.227047468076456,-0.21443706478069,0.474798757387912
pedregal de las aguilas,tlalpan,5,552,116406,0.541369863013699,0.0961722784634374,0.000263279141709998,31.2,-0.824578012096121,1.76911722711175,0.369044823192856,0.509722242952753,0.459115177733811
popo,miguel hidalgo,10,1829.9,159901.3,0.247397260273973,0.15379080108629,0.000329098927137498,55.2,1.75669449930443,-0.613118528833755,0.340645352169576,0.215723431067818,0.45434654778868
maza,cuauhtemoc,11,976.818181818182,147808.363636364,0.43760896637609,0.111463825806728,0.000329098927137498,72,0.0335262958078095,0.928280646643313,0.340645352169576,0.431697042962177,0.443010561761687
tlalpan centro i,tlalpan,7,897.714285714286,221646.428571429,0.549510763209393,0.262282347419723,0.00125057592312249,23.7142857142857,-0.126258282451579,1.83508780855719,-0.0569472421563416,-0.337855249357043,0.433688359529006
barrio san lucas,coyoacan,53,1647.71698113208,135836.603773585,0.275213233393642,0.15404626880067,0.000329098927137498,24.9811320754717,1.38869698882024,-0.387709068446852,0.340645352169576,0.214419905724168,0.411309427690765
lomas de chapultepec i seccion,miguel hidalgo,35,1906.17142857143,224353.742857143,0.24187866927593,0.171891685762329,0.00118475613769499,33.4571428571429,1.91075768263386,-0.657838971063593,-0.0285477711330616,0.12336357269979,0.394838773784424
argentina antigua,miguel hidalgo,5,452.6,94604.6,0.557260273972603,0.0807555350450925,0.000987296781412493,99.8,-1.02535936246251,1.89788672743313,0.0566506419367773,0.588386256568587,0.390765589192258
torres del maurel,coyoacan,19,935.947368421053,143286.473684211,0.42451333813987,0.143306407716964,6.58197854274995e-05,39.2105263157895,-0.0490300130900628,0.822158941626767,0.454243236262695,0.269220102860191,0.376631346385589
insurgentes cuicuilco,coyoacan,12,1217.91666666667,168501.5,0.374657534246575,0.181565195092492,0.000197459356282499,60,0.520529106262239,0.418147555636597,0.397444294216136,0.0740044409420823,0.375892745601294
san jose insurgentes,benito juarez,28,1555.67857142857,176868.392857143,0.325929549902153,0.164310955807548,0.00144803527940499,85.3214285714286,1.20278555837914,0.0232755657348323,-0.142145655226182,0.162044286790892,0.371798063547135
el rosedal,coyoacan,17,889.941176470588,153369.058823529,0.441418211120064,0.150534018032952,0.000263279141709998,56.1764705882353,-0.141959443120543,0.959149234218049,0.369044823192856,0.232341183565843,0.365434138680992
moctezuma 1a seccion,venustiano carranza,21,949.380952380952,176720.666666667,0.48897586431833,0.168275695709954,0.00184295399196999,73,-0.0218950721672358,1.34453733114241,-0.312542481365862,0.141814180781929,0.362647017575766
lago sur,miguel hidalgo,48,1361.97916666667,175114.416666667,0.332933789954338,0.180958037138086,0.000197459356282499,41.6041666666667,0.811525718809106,0.0800351104680348,0.397444294216136,0.0771024675678329,0.362377601139936
sacramento,alvaro obregon,8,1130,136602.75,0.341438356164384,0.0549295267720628,0.000329098927137498,34.125,0.342943321020333,0.148952695050956,0.340645352169576,0.720163598339405,0.359730594923183
general pedro maria anaya,benito juarez,60,1327.53333333333,207907.466666667,0.343059360730594,0.131601902007195,0.000921476995984993,56.4666666666667,0.741947439823568,0.162088664192936,0.0850501129600574,0.328942404226657,0.354009334642294
copilco universidad issste,coyoacan,5,1018.4,84037.4,0.395616438356164,0.146257079139999,6.58197854274995e-05,72,0.117518786806152,0.587990086232899,0.454243236262695,0.25416428655068,0.35333416647439
fernando casas aleman,gustavo a madero,6,1779.66666666667,190345.666666667,0.199543378995434,0.130914173143151,0.000131639570854999,41.5,1.65522652646668,-1.00090713899699,0.425843765239416,0.33245154433862,0.347954878156515
credito constructor,benito juarez,13,1029,132806.615384615,0.370706006322445,0.100016300035849,6.58197854274995e-05,92.1538461538462,0.138930077690295,0.386125962386918,0.454243236262695,0.490108102851548,0.346387079846013
miravalle,benito juarez,11,882.818181818182,125853.090909091,0.430635118306351,0.130314851652585,0.000394918712564997,19.0909090909091,-0.156347415806285,0.871767386314181,0.312245881146296,0.335509585366795,0.344177084454987
