alcaldia_clean,colonia_clean,genero_delito_de_bajo_impacto_tasa,genero_violación_tasa,genero_homicidio_doloso_tasa,genero_lesiones_dolosas_por_disparo_de_arma_de_fuego_tasa,genero_secuestro_tasa,genero_total_tasa
alvaro obregon,flor de maria,0.000165576620581174,0,0,0,0,0.000158115266028935
alvaro obregon,florida,0.000372547396307641,0,0,0,0,0.000355759348565104
alvaro obregon,francisco villa,0.000455335706598228,0.00102040816326531,0,0,0,0.000474345798086805
alvaro obregon,gamitos,0.000248364930871761,0,0,0,0,0.000237172899043403
alvaro obregon,gaona armenta,8.2788310290587e-05,0,0,0,0,7.90576330144675e-05
alvaro obregon,garcimarrero,0.000620912327179402,0.00102040816326531,0,0,0,0.00063246106411574
alvaro obregon,garcimarrero norte,0.000248364930871761,0,0,0,0,0.000237172899043403
alvaro obregon,golondrinas,0.000869277258051163,0,0,0,0,0.000830105146651909
alvaro obregon,golondrinas 1a seccion,0.000538124016888815,0,0.0101010101010101,0,0,0.000553403431101273
alvaro obregon,golondrinas 2a seccion,4.13941551452935e-05,0,0,0,0,3.95288165072338e-05
alvaro obregon,guadalupe inn,0.000538124016888815,0.00102040816326531,0,0,0,0.000553403431101273
alvaro obregon,heron proal,0.000331153241162348,0,0,0,0,0.00031623053205787
alvaro obregon,hidalgo,0.000620912327179402,0,0,0,0,0.000592932247608507
alvaro obregon,hogar y redencion,0.000372547396307641,0,0,0,0,0.000355759348565104
alvaro obregon,industrias militares de sedena,8.2788310290587e-05,0,0,0,0,7.90576330144675e-05
alvaro obregon,isidro fabela,0.000206970775726467,0,0,0,0,0.000197644082536169
alvaro obregon,jalalpa el grande 1er reacomodo,0.00012418246543588,0,0,0,0,0.000118586449521701
alvaro obregon,jalalpa tepito,0.000372547396307641,0,0,0,0,0.000355759348565104
alvaro obregon,jardines del pedregal,0.00149018958523057,0.00306122448979592,0,0,0,0.00154162384378212
alvaro obregon,jose maria pino suarez,0.000579518172034109,0,0,0,0,0.000553403431101273
alvaro obregon,la angostura,0.000496729861743522,0,0,0,0,0.000474345798086805
alvaro obregon,la arana,4.13941551452935e-05,0,0,0,0,3.95288165072338e-05
alvaro obregon,la cascada,0.000455335706598228,0,0,0,0,0.000434816981579572
alvaro obregon,la conchita,0.000455335706598228,0,0,0,0,0.000434816981579572
alvaro obregon,la estrella,4.13941551452935e-05,0,0,0,0,3.95288165072338e-05
alvaro obregon,la herradura del pueblo tetelpan,4.13941551452935e-05,0,0,0,0,3.95288165072338e-05
alvaro obregon,la joya,0.000206970775726467,0.00102040816326531,0,0,0,0.000237172899043403
alvaro obregon,la joyita del pueblo tetelpan,4.13941551452935e-05,0,0,0,0,3.95288165072338e-05
alvaro obregon,la loma,4.13941551452935e-05,0,0,0,0,3.95288165072338e-05
alvaro obregon,la martinica,8.2788310290587e-05,0,0,0,0,7.90576330144675e-05
alvaro obregon,la martinica ii,4.13941551452935e-05,0,0,0,0,3.95288165072338e-05
alvaro obregon,la mexicana,0.000455335706598228,0,0,0,0,0.000434816981579572
alvaro obregon,la milagrosa,0.00012418246543588,0.00102040816326531,0,0,0,0.000158115266028935
alvaro obregon,la palmita,0.000248364930871761,0,0,0,0,0.000237172899043403
alvaro obregon,la presa,4.13941551452935e-05,0,0,0,0,3.95288165072338e-05
alvaro obregon,la presa seccion hornos,0.00012418246543588,0,0,0,0,0.000118586449521701
alvaro obregon,las aguilas,0.000413941551452935,0,0,0,0,0.000395288165072338
