ID,ID_CI,ct_inicio,impacto,delito,modalidad_delito,fecha,calle1_hechos,calle2_hechos,colonia_hechos,alcaldia_hechos,ct_hechos,cord_x,cord_y,
12656,9967008,FDS-2,ALTO IMPACTO,VIOLACIÓN,VIOLACION,13/04/2025,AVENIDA DIVISION DEL NORTE,NEZAHUALPILLI,XOTEPINGO,COYOACAN,COY-2,-99.13830825,19.3242594,
12657,9967029,UAT-XO-2,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,08/05/2025,SATURNINO CEDILLO,NO SE ESPECIFICA,SANTA CRUZ ACALPIXCA - PUEBLO,XOCHIMILCO,XO-2,-99.0728414,19.24593949,
12658,9967037,CJM-AZ,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,10/05/2025,7 SUR AVENIDA MUNICIPIO LIBRE,NO SE ESPECIFICA,PORTALES SUR,BENITO JUAREZ,BJ-4,-99.15301062,19.3710695,
12659,9967039,59,BAJO IMPACTO,DELITO DE BAJO IMPACTO,ABUSO SEXUAL,11/05/2025,5 DE OCTUBRE,SIN REGISTRO,SAN LORENZO LA CEBADA,XOCHIMILCO,XO-2,-99.11614646,19.28466287,
12660,9967043,UAT-TLP-3,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,09/05/2025,LAS FLORES,SIN REGISTRO,SAN MIGUEL AJUSCO,TLALPAN,TLP-2,-99.20919208,19.23202753,
12661,9967052,FDS-5,BAJO IMPACTO,DELITO DE BAJO IMPACTO,ABUSO SEXUAL,09/05/2025,SIN REGISTRO,SIN REGISTRO,CHINAMPAC DE JUÁREZ,IZTAPALAPA,IZP-5,-99.04724164,19.37748082,
12662,9967059,UAT-CUJ-1,BAJO IMPACTO,DELITO DE BAJO IMPACTO,ABUSO SEXUAL,22/03/2024,1A PRIVADA DE CRUZ BLANCA,NO SE ESPECIFICA,CRUZ BLANCA,CUAJIMALPA DE MORELOS,CJ-1,-99.32298479,19.32202842,
12663,9967072,UAT-TLH-1,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,10/05/2025,MEDUSA,SIN REGISTRO,DEL MAR,TLAHUAC,TLH-1,-99.05811915,19.28966215,
12664,9967074,UAT-TLP-4,BAJO IMPACTO,DELITO DE BAJO IMPACTO,ACOSO SEXUAL,19/02/2025,CALZADA CAFETALES,SIN REGISTRO,GRANJAS COAPA,TLALPAN,TLP-4,-99.1151467,19.29062083,
12665,9967075,UAT-CUH-2,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,11/05/2025,CIPRES,JAZMIN,ATLAMPA,CUAUHTEMOC,CUH-1,-99.15508548,19.45544694,
12666,9967076,UAT-XO-2,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,11/05/2025,DESIDERIO PEÑA,NO SE ESPECIFICA,SAN JERÓNIMO,XOCHIMILCO,XO-2,-99.08932862,19.24984141,
12667,9967079,FDS-6,BAJO IMPACTO,DELITO DE BAJO IMPACTO,ACOSO SEXUAL,10/05/2025,ERMITA,SAN FELIPE DE JESUS,SAN MIGUEL,IZTAPALAPA,IZP-4,-99.07397848,19.3507866,
12668,9967099,UAT-GAM-1,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,11/05/2025,TABACHINES,NO SE ESPECIFICA,PARQUE METROPOLITANO,GUSTAVO A MADERO,GAM-1,-99.13031135,19.56766493,
